TI,DO,pub_id
Mandibular reconstruction with autogenous non-vascularised bone graft,10.4314/ahs.v19i3.53,32127850
Self-perception of dental appearance and aesthetics in a student population,10.1016/j.ortho.2019.06.010,31255551
Oral diseases and oral health related behaviors in adolescents living in Maasai population areas of Tanzania: A cross-sectional study,10.1186/s12887-019-1655-8,31391064
"Etiology, pattern and outcome of management of facial lacerations in dar es salaam, tanzania",10.4314/thrb.v21i2.4,Unknown
"Cervicofacial necrotizing fasciitis among patients attending the Muhimbili National Hospital, Dar es Salaam, Tanzania",10.1186/s12879-019-4267-x,31324225
Prevalence and factors associated with dental caries in patients attending an HIV care clinic in Uganda: A cross sectional study,10.1186/s12903-019-0847-9,31324242
"Age and reasons for first dental visit among children in Lagos, Nigeria",10.4103/npmj.npmj_60_19,31441453
"Estimated incidence and Prevalence of noma in north central Nigeria, 2010–2018: A retrospective study",10.1371/journal.pntd.0007574,31329580
"Cultural constraints in the use of dental implants and orthodontic mini-implants in Benin City, Nigeria",10.4103/njcp.njcp_491_18,31293250
Dental fluorosis and oral health in the African Esophageal Cancer Corridor: Findings from the Kenya ESCCAPE case–control study and a pan-African perspective,10.1002/ijc.32086,30582155
Public knowledge about oral cancer in Uganda: a free dental camp experience,10.1108/JHR-07-2018-0062,32051930
Comparative analysis of healthcare provision to individuals with cleft lip and/or palate at specialised academic centres in South Africa,10.7196/SAMJ.2019.v109i6.13654,31266562
Costs of dental care and its financial impacts on patients in a population with low availability of services,10.1922/CDH_4389Nyamuryekung’e06,31021564
Gingival recession and localized aggressive periodontitis among HIV-infected children and adolescents receiving antiretroviral therapy,10.1097/INF.0000000000002166,30096098
Oral habits and malocclusion in children resident in Ile-Ife Nigeria,10.1007/s40368-018-0391-3,30506282
"Prevalence of dental fluorosis among 12-15-year-old students in Enugu Metropolis, Nigeria",10.4103/ijdr.IJDR_498_17,31397425
Detection of herpes viruses in Ghanaian patients with periodontitis,10.1111/jicd.12386,30609291
Empathy among dental students in a Nigerian institution,10.1111/eje.12412,30582657
Prevalence of traumatic dental injury to the anterior teeth in children attending paramilitary and nonparamilitary schools in Nigeria,10.4103/aam.aam_27_18,31070149
The spectrum of intraoral bacteria seen in patients with cleft palates in an African setting,10.1002/mbo3.679,29949241
"Perceived and Assessed Dental Treatment Needs of Schoolchildren in Benoe Division, Cameroon",10.1177/2380084418814485,30931712
Occurrence of fluorosis in a population living in a high-fluoride groundwater area: Nakuru area in the Central Kenyan Rift Valley,10.1007/s10653-018-0180-2,30173366
Challenges Implementing Oral Health Promotion at Schools: Perspectives of Teachers and Health Managers,10.1007/s10643-018-0923-9,Unknown
Assessment of Severity of Illness and Monitoring Response to Treatment of Odontogenic Space Infection Using Serum Prealbumin,10.1007/s12663-018-1105-4,30728701
Self-esteem following maxillofacial and orthopedic injuries: preliminary observations in sub-Saharan Africans,10.1007/s10006-018-0735-5,30470958
A geographical analysis of ethnic distribution of jaw ameloblastoma in Nigerians,10.4314/ahs.v19i1.44,31148998
Pattern of distribution of reactive localised hyperplasia of the oral cavity in patients at a tertiary health institution in Nigeria,10.4314/ahs.v19i1.45,31148999
Tobacco use and oral sex practice among dental clinic attendees,10.1371/journal.pone.0213729,30865709
Cephalometric norms of a Burkina Faso population,10.1016/j.ortho.2019.01.002,30772356
Dental development in a sample of South African HIV-positive children,10.1111/scd.12353,30648749
Salivary bacterial count and its implications on the prevalence of oral conditions,10.5005/jp-journals-10024-2495,Unknown
"Clinical evaluation of postoperative fever in patients that had oral and maxillofacial surgery in university of Nigeria Teaching Hospital, Ituku-Ozalla, Enugu, Nigeria",10.4103/njcp.njcp_467_18,30729940
The timing of permanent tooth development in a Black Southern African population using the Demirjian method,10.1007/s00414-018-1968-4,30478536
Bayesian model with application to a study of dental caries,10.1186/s12903-018-0687-z,30616542
Role of mobile health on patient enrollment for cleft lip-palate surgery: A comparative study using SMS blast text messaging in zimbabwe,10.1002/lio2.287,31453345
Position of mandibular foramen and its clinical implications,10.13128/ijae-11660,Unknown
Benign fibro-osseous lesions of the jaws: A clinicopathologic study of 98 Tanzanian patients,10.1051/mbcb/2019026,Unknown
"Orofacial injuries amongst commercial motorcyclists, drivers, and bus conductors in three rural communities, south-western Nigeria",10.121/J.2191-0367,Unknown
"Oral epidemiological profile of patients attending public oral health services in haut Sassandra region, in Côte D’Ivoire",10.4081/jphia.2019.1064,32257078
Antibiotic therapy in Endodontics: A survey from dental surgeons in Ivory Coast,10.32067/gie.2019.33.01.02,Unknown
Correlates of illness behaviour related to orofacial infections of odontogenic origin among adults in a semi urban community in Nigeria,10.4314/gmj.v53i4.7,32116341
Management outcome of thyroglossal cyst in a tertiary health center in southwest Nigeria,10.11604/pamj.2019.34.154.18765,32110270
Concordance between clinical and histopathologic diagnosis and an audit of oral histopathology service at a Nigerian tertiary hospital,10.11604/pamj.2019.34.100.19388,31934243
A conceptual framework to guide public oral health planning in limpopo province,10.4102/hsag.v24i0.1109,31934417
"Caregivers’ perceptions of the oral-health-related quality of life of children with special needs in johannesburg, south africa",10.4102/hsag.v24i0.1056,31934405
A health education video in an indigenous Nigerian language to dispel misconceptions associated with reversal of eruption sequence of anterior teeth,,Unknown
Dentine hypersensitivity and associated factors: A Nigerian cross-sectional study,10.11604/pamj.2019.33.272.18056,31692856
Factors Influencing differences between patient’s self-perceived oral care needs and clinical findings in a Nigerian population,10.19070/2377-8075-190000135,Unknown
"Population-Based Estimation of Dental Caries and Periodontal Disease Rates of Gravid and Recently Postpartum Women in Lilongwe, Malawi",10.1055/s-0039-1695003,31435488
Systematic review of factors influencing oral health-related quality of life in children in Africa,10.4102/phcfm.v11i1.1943,31368323
"Bacterial etiology and risk factors of periodontal diseases in enugu metropolis, south east nigeria",10.5580/IJMB.54104,Unknown
A multi-centre evaluation of malignant odontogenic tumours in Nigeria,10.11604/pamj.2019.33.18.16179,31312334
Social predictors of oral hygiene status in school children from suburban Nigeria,10.1590/1807-3107BOR-2019.VOL33.0022,31269111
"Behavioural and sociodemographic determinants of oral health-related quality of life among adolescents in Zanzibar, Tanzania",10.3290/j.ohpd.a42664,31209444
Salivary Fluoride retention: A comparative analysis between fluoride containing chewing sticks and a non herbal fluoridated toothpaste,10.5005/jp-journals-10024-2524,Unknown
Oral health disease and library service delivery among library staff of the universities in Nigeria.,,Unknown
Evaluating dentine hypersensitivity severity in Nigerians using cumulative hypersensitivity index,10.19070/2377-8075-19000132,Unknown
Human papillomavirus detection in head and neck squamous cell carcinomas at a tertiary hospital in Sub-Saharan Africa,10.1155/2019/2561530,31061653
"Oral Health Status and Treatment Needs of Pregnant Women Attending Antenatal Clinics in KwaZulu-Natal, South Africa",10.1155/2019/5475973,30956659
Epidemiologic analysis of dental cellulitis in Kinshasa city (the Democratic Republic of the Congo),10.1051/mbcb/2018038,Unknown
Satisfaction with dental appearance and personality traitsamong a population of Nigerian dental patients,,30714055
Impact of Removable Partial Dental Prostheses on the Oral Health-Related Quality of Life of a South African Cohort with Varied Distributions of Missing Posterior Teeth,10.1111/jopr.12692,29067787
Descriptive epidemiology of salivary gland neoplasms in Nigeria: An AOPRC multicenter tertiary hospital study,10.1111/odi.12956,30099823
Maxillofacial injuries due to motorcycle accidents from suburban Nigeria,10.1016/j.ajoms.2022.07.014,Unknown
"Risk indicators for dental caries, and gingivitis among 6–11-year-old children in Nigeria: a household-based survey",10.1186/s12903-022-02470-1,36329457
Developing an Oral Hygiene Education Song for Children and Teenagers in Nigeria,10.1016/j.identj.2022.06.008,35914956
An assessment of dental age in a select South African sample using the Willems scoring systems,10.1016/j.fsir.2022.100296,Unknown
"Age-specific associations with dental caries in HIV-infected, exposed but uninfected and HIV-unexposed uninfected children in Nigeria",10.1186/s12903-022-02421-w,36167498
"Oral cleaning habits and the copy number of periodontal bacteria in pregnant women and its correlation with birth outcomes: an epidemiological study in Mibilizi, Rwanda",10.1186/s12903-022-02443-4,36163018
"Periodontal status of students living with disability in Amhara region, Ethiopia: a cross-sectional study",10.1186/s12903-022-02377-x,35953827
Comparison of measured and predicted mesiodistal tooth-widths of 13–17 years old Kenyans: a descriptive cross-sectional study to develop a new prediction equation for use in the mixed dentition in a Kenyan population,10.1186/s12903-022-02368-y,35945576
Unmet need in Sierra Leone: a national oral health survey of schoolchildren,10.1038/s41405-022-00107-7,35701398
"Prevalence, correlates and treatment needs of dental caries among people on antiretroviral therapy in Uganda: a cross sectional study",10.1186/s12903-022-02256-5,35689234
Prevalence and correlates of periodontitis among Kenyan women planning to conceive,10.1186/s12903-022-02243-w,35642032
Maternal and infant risk factors and risk indicators associated with early childhood caries in South Africa: a systematic review,10.1186/s12903-022-02218-x,35585594
"Dental caries according to CAST among Zambian adolescents; pattern, socio-demographic and behavioral correlates",10.1186/s12903-022-02217-y,35568900
Child saliva microbiota and caries: a randomized controlled maternal education trial in rural Uganda,10.1038/s41598-022-11979-y,35552492
"Oral health knowledge and oral hygiene practice among visually impaired subjects in Addis Ababa, Ethiopia",10.1186/s12903-022-02199-x,35524206
"Oral health status of nursing staff in Ilembula, Wanging’ombe District, Njombe region, Tanzania: a cross-sectional study",10.1186/s12903-022-02064-x,35534856
"The characteristics and perioperative outcomes of children with orofacial clefts managed at an academic hospital in Johannesburg, South Africa",10.1186/s12887-022-03267-5,35440073
Oral hygiene practices and their sociodemographic correlates among adults in Burkina Faso: results from the First National Survey,10.1186/s12903-022-02118-0,35321713
"Assessment of oral health status in a Ghanaian population: rationale, methods, and population characteristics",10.1186/s12903-022-02090-9,35279167
Prevalence of early childhood caries in South Africa: a systematic review,10.1186/s12903-021-01982-6,35135513
"Oral hygiene status, malocclusion and dental trauma among institutionalized visually impaired and sighted adolescents in Lagos State, Nigeria",10.1111/scd.12716,35358330
"Knowledge, attitudes, and practices related to COVID-19 among patients attending public dental clinics in Tanzania: A cross-sectional study",10.1371/journal.pone.0276620,36301894
Long-Term Effects of a Randomized Maternal Education Trial in Rural Uganda: Implications for Child Oral Health,10.4269/ajtmh.22-0248,36067985
The effect of antiretroviral therapy initiation on vitamin D levels and four oral diseases among Kenyan children and adolescents living with HIV,10.1371/journal.pone.0275663,36227876
Evaluation of Oral Hygiene-Related Mobile Apps for Children in Sub-Saharan Africa,10.3390/ijerph191912565,36231862
Patient treatment cost of oral diseases in Ghana,10.4314/gmj.v56i3.7,Unknown
Recurrent tumours of ameloblastoma: Clinicopathologic features and diagnostic outcome,10.4103/njcp.njcp-82-22,Unknown
"Differences in Oral Lesions Associated with Tobacco Smoking, E-Cigarette Use and COVID-19 Infection among Adolescents and Young People in Nigeria",10.3390/ijerph191710509,36078225
"Validation of the Italian, European, North German, Malaysian, and South African black formulas on Cameriere method using panoramic radiographs in Kenyan children",10.1007/s00414-022-02854-6,35710955
Treatment costs of mandibular fractures in a Nigerian hospital,10.1007/s10006-021-01000-7,34518952
Associations between dental problems and underweight status among rural women in Burkina Faso: results from the first WHO Stepwise Approach to Surveillance (STEPS) survey,10.1017/S1368980021004080,34615560
"Knowledge of oral health during pregnancy and associated factors among pregnant mothers attending antenatal care at South Omo Zone public hospitals, Southern Ethiopia, 2021",10.1371/journal.pone.0273795,36037195
Disparities in Oral Cancer Stage at Presentation in a High HIV Prevalence Setting In Sub-Saharan Africa,10.1200/GO.21.00439,35981280
Evaluation of antibiotic prescribing for ambulatory patients seeking primary dental care services in a public hospital in Ghana: A clinical audit study,10.1093/jacamr/dlac079,35795243
How alcohol and/or tobacco use and raised glycemia are associated with oral hygiene practices among Burkinabè adults: Evidence from the first national non-communicable disease risk factors survey,10.1016/j.pmedr.2022.101854,35757578
Impact of severity of malocclusion and self-perceived smile and dental aesthetics on self-esteem among adolescents,10.1016/j.ejwf.2022.05.001,35672244
Long-term outcomes of mandibular reconstruction using non-vascularised rib grafts following large ameloblastoma resection in Ethiopia,10.1111/ors.12699,Unknown
Characteristics of oral health literacy in Senegal: A cross-sec-tional study among women in the Department of Pikine,10.4081/jphia.2022.2114,36051522
Strengthening the oral health system in Nigeria: A health systems building block approach,10.4103/npmj.npmj_127_22,35900452
"Profiles of sugar fermenting bacteria of the oral cavity among children with dental caries attending stomatology services at Ruhengeri referral hospital in Musanze District, Northern Rwanda",10.4103/npmj.npmj_78_22,35900460
"The risk factors and pattern of traumatic dental injuries in 10-12-year olds in Kano, Nigeria",10.4103/npmj.npmj_145_22,35900466
Pattern of congenital anomalies among pediatric surgical patients in a tertiary care hospital in northern Tanzania,10.1136/wjps-2021-000410,36474735
Root and canal morphology of the permanent anterior dentition in a Black South African population using cone-beam computed tomography and two classification systems,10.2334/josnusd.22-0027,35644562
Oral cancer awareness and knowledge: Survey of dentists in Democratic Republic of the Congo,10.1016/j.jcpo.2022.100332,35560268
Current profile of Charcot-Marie-Tooth disease in Africa: A systematic review,10.1111/jns.12489,35383421
Periodontal status and oral hygiene practices among adults in a peri-urban fishing community in Ghana,10.11604/pamj.2022.42.126.24557,36060847
Regional Disparities in Caries Experience and Associating Factors of Ghanaian Children Aged 3 to 13 Years in Urban Accra and Rural Kpando,10.3390/ijerph19095771,35565164
"Diagnostic and therapeutic approaches to endodontic-periodontal lesions: A survey among dental surgeons in Ouagadougou, Burkina Faso",10.4103/sej.sej_174_21,Unknown
Periodontitis prevalence and severity in an African population: A cross-sectional study in the Greater Accra Region of Ghana,10.1002/JPER.21-0329,34724216
"Expectations, Experiences and Perceptions of Oral and Maxillofacial Surgery Residents to Training in Nigeria",10.1111/eje.12693,33982385
Evaluation of the clinical effects of impacted lower third molar tooth on adjacent oral tissues,10.4322/bds.2022.e3024,Unknown
Are there associations between the occurrence of dental fluorosis and the experience of dentine hypersensitivity? A cross-sectional study,10.4103/npmj.npmj_7_22,35488586
"Pattern and prevalence of dental anomalies among a paediatric population in Lagos, Nigeria",10.4103/npmj.npmj_23_22,35488587
Effect of Delay of Care for Patients with Craniomaxillofacial Trauma in Rwanda,10.1177/2473974X221096032,35480144
Dental Caries Severity and Nutritional Status of Nigerian Preschool Children,10.1177/23800844211002108,33764218
"Oral, genital and anal human papillomavirus infections among female sex workers in Ibadan, Nigeria",10.1371/journal.pone.0265269,35353833
Dental caries and associated factors among patients visiting Shashamane Comprehensive Specialized Hospital,10.1371/journal.pone.0265000,35239749
Association of Health Literacy and Socioeconomic Status with Oral Health Among Older Adults in Ghana: A Moderation Analysis of Social Capital,10.1177/07334648211028391,34225501
"Association of Dietary Calcium Intake with Dental, Skeletal and Non-Skeletal Fluorosis among Women in the Ethiopian Rift Valley",10.3390/ijerph19042119,35206307
Prevalence of oral mucosal lesions in human immunodeficiency virus-infected children attending the Pediatric Infectious Diseases Clinic in Cape Town,10.1002/cre2.484,34586712
"Prevalence of oral conditions and associated factors among schoolchildren in Accra, Ghana: a cross-sectional study",10.1016/j.identj.2021.02.004,33781557
Oral Health Behaviour and Predictors of Oral Health Behaviour Among Patients With Diabetes in the Republic of Mauritius,10.1016/j.identj.2021.03.002,33875276
Cleft Care in a Developing Country: An Assessment of Knowledge and Attitudes of Patients/Parents of Children With an Orofacial Cleft to Orthodontic Treatment,10.1177/1055665621998179,33715465
"Self-Reported Periodontal Disease and its Association with Dental Anxiety in Lagos, Nigeria",10.1590/pboci.2022.008,Unknown
Patients’ Management Patterns for Restorative Treatment Procedures: A 4-Year Overview at the Restorative Clinic of a Tertiary Hospital in Nigeria,10.1590/pboci.2022.017,Unknown
"Associations between oral habits, dental anxiety, dental service utilization, and maternal mental health status among 6- to 12-year-old children in Ile-Ife, Nigeria",10.1007/s40368-022-00767-x,36367680
"Prevalence of Acrylic Removable Partial Dentures among Adult Patients Attending Public Dental Clinics in Dar-es-Salaam, Tanzania",10.5005/jp-journals-10062-0134,Unknown
Work-related Musculoskeletal Disorders and Associated Factors among Dental Professionals in Tanzania,10.5005/jp-journals-10062-0130,Unknown
Self-reported Treatment Needs and Utilization of Dental Services among Dental Students and Dental Technology Students,10.5005/jp-journals-10062-0132,Unknown
"Patterns, Practices, and Level of Buccodental Hygiene in Individuals Aged 5 to 17 Years in Bafia, Cameroon",10.5005/jp-journals-10062-0123,Unknown
A study of mandibular premolar root and canal morphology in a Black South African population using cone-beam computed tomography and two classification systems,10.2334/josnusd.22-0239,36089376
Perceived Patient Barriers to Tooth-Retaining Treatment in Tanzania,10.1177/23800844221121262,36131512
"A retrospective clinical, multi-center cross-sectional study to assess the severity and sequela of Noma/Cancrum oris in Ethiopia",10.1371/JOURNAL.PNTD.0010372,36099293
A review of noma cases in a tertiary hospital located in a conflict endemic region in Nigeria,10.1080/13623699.2022.2114121,36003023
Reasons for Delay in Seeking Treatment for Dental Caries in Tanzania,10.1016/j.identj.2022.07.012,36030120
Analysing the Social Responsibility among Dentists of Ethiopia: A Cross-sectional Study,10.2174/18742106-V16-E2205190,Unknown
Fibro-osseous Lesions of the Craniofacial Region: A 14-year Experience,10.7727/wimj.2016.150,23952457
"The prevalence of dental caries and associated factors among students living with disability in the Amhara region, Ethiopia",10.1002/cre2.646,35971194
Oral Health Status of Illicit Drug Users in a Health District in South Africa,10.1055/s-0042-1750770,35915935
The Ergonomic Knowledge and Practice of Dental Students in a Tertiary Institution in South Africa,10.1155/2022/4415709,35910088
"Is oral rehydration therapy associated with early childhood caries in children resident in Ile-Ife, Osun State, Nigeria?",10.1111/ipd.13016,35771168
"Prevalence and antimycotic susceptibility profile of Candida species in the oral cavities of HIV/AIDS patients and pregnant women in Nsukka, Nigeria",10.21161/mjm.211293,Unknown
"Patients Perceived Knowledge, Attitude, and Practice of Dental Abscess Management in Periurban District, Ghana",10.1155/2022/2266347,35769666
Integrating Oral Health into Primary Health Care: A Systematic Review of Oral Health Training in Sub-Saharan Africa,10.2147/JMDH.S357863,35761842
"Epidemiological and tomodensitometric aspects of post-traumatic maxillofacial fractures in Mopti, Mali",10.11604/pamj.2022.41.309.28752,35855048
"Prevalence and Risk Factors for Periodontal Disease Among Women Attending Antenatal Care in Public Hospitals, Southwest Ethiopia, 2022: A Multicenter Cross-Sectional Study",10.2147/CCIDE.S367713,35698646
"Association with oral microbial alteration and oral disease among patients attending ruhengeri referral hospital, Rwanda: A case-control study",10.4103/bbrj.bbrj_271_21,Unknown
"Analysis of the Dental Caries Epidemiological Profile in Children of Benguela city, Angola",10.3290/j.ohpd.b2805501,35285603
Caries experience by socio-behavioural characteristics in HIV-1-infected and uninfected Ugandan mothers–a multilevel analysis,10.1080/00016357.2021.1942544,34176405
"Oral Health Status of Hearing-Impaired Students Attending Special Need Schools in Amhara Region, Ethiopia: A Cross-Sectional Study",10.2147/CCIDE.S348730,35095283
Risk Factors Associated With Early-Onset Esophageal Cancer in Tanzania,10.1200/GO.21.00256,35113655
"Randomized controlled trial on the effectiveness of silver diamine fluoride in arresting caries in Lagos, Nigeria",10.20396/bjos.v21i00.8666341,Unknown
Incidence and management of mandibular fractures in a low-resource health facility in Ghana,10.5125/jkaoms.2021.47.6.432,34969016
"Dental Practitioners’ Knowledge, Attitude, and Practice in Caries Risk Assessment and Management: A Cross-sectional Survey in Kampala Metropolitan, Uganda",10.5005/jp-journals-10024-3236,Unknown
"Prevalence of depression, anxiety and associated factors among patients with dental disease attending outpatient department in Addis Ababa public hospitals, Addis Ababa, Ethiopia: a multicenter cross-sectional study",10.1186/s12903-021-02012-1,34886832
Dental caries and its association with the oral microbiomes and HIV in young children—Nigeria (DOMHaIN): a cohort study,10.1186/s12903-021-01944-y,34863179
"Determinants of dental caries among adolescent patients attending Hospitals in West Wollega Zone, Western Ethiopia: A case-control study",10.1371/journal.pone.0260427,34855813
"Associations between psychological wellbeing, depression, general anxiety, perceived social support, tooth brushing frequency and oral ulcers among adults resident in Nigeria during the first wave of the COVID-19 pandemic",10.1186/s12903-021-01871-y,34645423
"Dental health problems and treatment-seeking behavior among special need school students in Amhara region, Ethiopia",10.1186/s12903-021-01856-x,34600520
COVID-19 outbreak and dental health care provision in Nigeria: a national survey,10.1186/s12903-021-01860-1,34607593
Prevalence of dental caries in the first permanent molar and associated risk factors among sixth-grade students in São Tomé Island,10.1186/s12903-021-01846-z,34583665
"Oral health seeking behaviors of adults in Nebbi District, Uganda: a community-based survey",10.1186/s12903-021-01824-5,34535092
Needs-led human resource planning for Sierra Leone in support of oral health,10.1186/s12960-021-00623-x,34470631
The prevalence and socio-behavioural and clinical covariates of oral health related quality of life in Ugandan mothers with and without HIV-1,10.1186/s12955-021-01844-3,34425825
Epidemiological profile of early childhood caries in a sub-urban population in Nigeria,10.1186/s12903-021-01780-0,34425793
Associations between mental health problems and risky oral and sexual behaviour in adolescents in a sub-urban community in Southwest Nigeria,10.1186/s12903-021-01768-w,34399740
Pregnant women utilization of dental services: still a challenge in low resource setting,10.1186/s12903-021-01746-2,34353295
Taurodontism in dental genetics,10.1038/s41405-021-00081-6,34244468
Replication of GWAS significant loci in a sub-Saharan African Cohort with early childhood caries: a pilot study,10.1186/s12903-021-01623-y,34016088
"Early childhood caries: Are maternal psychosocial factors, decision-making ability, and caries status risk indicators for children in a sub-urban Nigerian population?",10.1186/s12903-020-01324-y,33941156
"Association between mental health, caries experience and gingival health of adolescents in sub-urban Nigeria",10.1186/s12903-021-01589-x,33931069
"Associations between a history of sexual abuse and dental anxiety, caries experience and oral hygiene status among adolescents in sub-urban South West Nigeria",10.1186/s12903-021-01562-8,33874918
Individual and familial factors associated with caries and gingivitis among adolescents resident in a semi-urban community in South-Western Nigeria,10.1186/s12903-021-01527-x,33771136
Perceived general health in relation to oral health status in a rural Kenyan elderly population,10.1186/s12903-021-01525-z,33761927
Assessing the association between periodontitis and premature birth: a case-control study,10.1186/s12884-021-03700-0,33711951
Associations between depression and gingivitis among adolescents resident in semi-urban South-West Nigeria,10.1186/s12903-021-01421-6,33557820
Dental caries and associated factors in Ethiopia: systematic review and meta-analysis,10.1186/s12199-021-00943-3,33579186
Dental caries experience and associated factors in adults: a cross-sectional community survey within Ethiopia,10.1186/s12889-021-10199-9,33478460
Perceptions of provincial and district level managers’ on the policy implementation of school oral health in South Africa,10.1186/s12913-020-06004-9,33407408
Patient-reported dental safety events: A South African perspective,10.1097/PTS.0000000000000464,29369072
Pattern of Orofacial Clefts at A Tertiary Care Hospital in Ethiopia,10.4314/ejhs.v31i6.12,35392346
Coproduction in the management of individuals with cleft lip and palate in south africa: The ekhaya lethu model,10.1093/intqhc/mzab082,34849962
The oral health situation of 12-year-old school children in the rural region of ilembula in Southwestern Tanzania: A cross-sectional study,10.3390/ijerph182212237,34831993
"Caregivers’ report of HIV-associated oral manifestations among HIV-unexposed, exposed, and infected Kenyan children",10.1111/ipd.12771,33368736
The effect of dental anxiety on surgical time of mandibular third molar disimpaction,10.4103/njcp.njcp_501_20,34657006
Access to oral &amp; maxillofacial surgery in Sub-Saharan African countries,10.1016/j.jobcr.2021.09.001,34567965
Effects of non-surgical treatment of chronic periodontitis on insulin resistance and glucose tolerance in subjects without diabetes (PARODIA 2 study),10.1136/jim-2021-001831,34261767
AfHNS fellowship: Model to improve access to head and neck cancer care in Africa and developing countries,10.1002/hed.26770,34050570
Awareness About the Oral and Systemic Complications of Diabetes Among a Cohort of Diabetic Patients of the Republic of Mauritius,10.1016/j.identj.2020.12.019,33640154
"A community survey on maternal perception about the initiation of dental home for infants in lagos, nigeria",10.11604/pamj.2021.40.78.24441,34804345
Prevalence and associated factors of dental caries among primary school children in South-East Nigeria,10.4103/njcp.njcp_633_20,34531341
Should South Africa train specialist endodontists? A cross-sectional online survey,10.4103/sej.sej_238_20,Unknown
Juvenile ossifying fibroma of the maxillofacial region: Analysis of clinico-pathological features and management,10.4317/medoral.24592,34162821
Is chronotype profile a risk indicator for caries in children and adolescents in sub-urban Nigeria?,10.1111/ipd.12748,33222347
"Paediatric maxillofacial fractures in Ghana: Pattern, household cost, and distress",10.1111/ipd.12734,33002267
Perceptual Speech Outcomes After Early Primary Palatal Repair in Ugandan Patients With Cleft Palate,10.1177/1055665620980249,33380217
"Oral health and psychosocial predictors of quality of life and general well-being among adolescents in lesotho, southern africa",10.3390/children8070582,34356561
"Alloplastic Total Temporomandibular Joint Reconstruction: A 10-Year Experience of the University of the Witwatersrand, Johannesburg",10.1097/SCS.0000000000007227,33201066
Population-Based Prevalence of Oral Conditions as a Basis for Planning Community-Based Interventions: An Epidemiological Study From Rural Burkina Faso,10.3389/fpubh.2021.697498,34277555
Oral plasmablastic lymphoma: A clinicopathological study of 113 cases,10.1111/jop.13210,34091967
Validating dental age estimation in Kenyan black children and adolescents using the Willems method,10.1177/0025802420977379,33270504
Relationship between periodontal diseases and newly-diagnosed metabolic syndrome components in a sub-Saharan population: a cross sectional study,10.1186/s12903-021-01661-6,34187434
Self-reported and clinically evident gingival bleeding and impact on oral health-related quality of life in young adolescents: A comparative study,10.4314/mmj.v33i2.7,34777707
Oral health related quality of life among hiv positive patients attending two hiv outpatient clinics in nigeria-a cross sectional study,10.4314/ahs.v21i2.11,34795709
"The spectrum of orofacial clefts and treatment logistics at Universitas Academic Hospital, Bloemfontein, South Africa",10.17159/2078-5151/2021/v59n2a3220,Unknown
"Cross-sectional survey of treatments and outcomes among injured adult patients in Kigali, Rwanda",10.1016/j.afjem.2021.03.002,33968606
"Missing and decayed teeth, oral hygiene and dental staining in relation to esophageal cancer risk: ESCCAPE case-control study in Kilimanjaro, Tanzania",10.1002/ijc.33433,33320959
"Oral health-related knowledge, attitude and practices among trainee community health officers in a nigerian tertiary health institution",,Unknown
"Impacts of tooth loss on ohrqol in an adult population in cape town, south africa",10.3390/ijerph18094989,34066645
Are diabetes and dental care providers in the Republic of Mauritius advising patients about the importance of oral health in diabetes management?,10.1111/idh.12479,33219620
"Prevalence of Dental Caries and Associated Factors in East Africa, 2000–2020: Systematic Review and Meta-Analysis",10.3389/fpubh.2021.645091,33996722
‘Hidden Hot Springs’ as a Source of Groundwater Fluoride and Severe Dental Fluorosis in Malawi,10.3390/w13081106,Unknown
COVID-19 risks and extra-protective measures practised among Nigerian orthodontists and orthodontic residents,10.4103/npmj.npmj_576_21,34494593
Clinical and Epidemiological Profile of Oral and Maxillofacial Trauma at Two Quaternary Hospitals in Mozambique in 2016,10.4314/AAS.V18I2.5,Unknown
Prevalence of JP2 and non-JP2 genotypes of aggregatibacter actinomycetemcomitans and oral hygiene practice of kenyan adolescents in Maasai Mara,10.3390/pathogens10040488,33920549
Association between parity and tooth loss among northern Nigerian Hausa women,10.1002/ajpa.24197,33340105
"Is there an association between viral load, CD4 count, WHO staging, and dental caries in HIV-positive children?",10.1111/ipd.12663,32419236
Are Nigerian oral health workers overlooking opportunities to promote interventions for tobacco smoking cessation?,10.18332/popmed/132292,Unknown
"Oral health status and patterns of dental service utilization of adolescents in lesotho, Southern Africa",10.3390/children8020120,33562218
Orofacial infections in kenya: A retrospective study,10.4314/AAS.V18I1.9,Unknown
Determinants of intention to improve oral hygiene behavior among students based on the theory of planned behavior: A structural equation modelling analysis,10.1371/journal.pone.0247069,33630853
Oral health practices and oral hygiene status as indicators of suicidal ideation among adolescents in Southwest Nigeria,10.1371/journal.pone.0247073,33630858
"Prevalence of early childhood caries, risk factors and nutritional status among 3-5-yearold preschool children in Kisarawe, Tanzania",10.1371/journal.pone.0247240,33630949
Oral health-seeking behavior among different population groups in Enugu Nigeria,10.1371/journal.pone.0246164,33524044
Oral health–related quality of life of adolescents assessed with the Malocclusion Impact and Child Perceptions questionnaires,10.1016/j.ajodo.2020.09.017,33388200
"Subjective prosthodontic treatment need, tooth loss and associated factors among dental patients in Dar es salaam, Tanzania",10.4314/ahs.v21i4.49,35283981
"Occurrence of bacteraemia following oral and maxillofacial surgical procedures in Port Harcourt, Nigeria",10.4314/ahs.v21i4.24,35283954
